#SampleID	env_material	Collection_Date	BioSample
SRR10534307	Bulk soil	2015	SAMN13283755
SRR10534308	Bulk soil	2015	SAMN13283756
SRR10534309	Bulk soil	2015	SAMN13283757
SRR10534310	Bulk soil	2015	SAMN13283758
SRR10534311	Bulk soil	2015	SAMN13283759
SRR10534312	Bulk soil	2015	SAMN13283760
SRR10534313	Bulk soil	2015	SAMN13283761
SRR10534314	Bulk soil	2015	SAMN13283762
SRR10534315	Bulk soil	2015	SAMN13283763
SRR10534316	Bulk soil	2015	SAMN13283764
SRR10534317	Bulk soil	2015	SAMN13283765
SRR10534318	Bulk soil	2015	SAMN13283766
SRR10534319	Bulk soil	2015	SAMN13283767
SRR10534320	Bulk soil	2015	SAMN13283768
SRR10534321	Bulk soil	2015	SAMN13283769
SRR10534322	Bulk soil	2015	SAMN13283770
SRR10534323	Bulk soil	2015	SAMN13283773
SRR10534324	Bulk soil	2015	SAMN13283771
SRR10534325	Bulk soil	2015	SAMN13283772
SRR10534326	Bulk soil	2015	SAMN13283774
SRR10534327	Bulk soil	2015	SAMN13283775
SRR10534328	Bulk soil	2015	SAMN13283776
SRR10534329	Bulk soil	2015	SAMN13283777
SRR10534330	Bulk soil	2015	SAMN13283778
SRR10534331	Bulk soil	2015	SAMN13283779
SRR10534332	Bulk soil	2015	SAMN13283780
SRR10534333	Bulk soil	2015	SAMN13283781
SRR10534334	Bulk soil	2015	SAMN13283785
SRR10534335	Bulk soil	2015	SAMN13283783
SRR10534336	Bulk soil	2015	SAMN13283784
SRR10534337	Bulk soil	2015	SAMN13283789
SRR10534338	Bulk soil	2015	SAMN13283786
SRR10534339	Bulk soil	2015	SAMN13283787
SRR10534340	Bulk soil	2015	SAMN13283788
SRR10534341	Bulk soil	2015	SAMN13283790
SRR10534342	Bulk soil	2015	SAMN13283791
SRR10534343	Bulk soil	2015	SAMN13283792
SRR10534344		2016	SAMN13283805
SRR10534345	Bulk soil	2015	SAMN13285809
SRR10534346	Bulk soil	2015	SAMN13285810
SRR10534347	Bulk soil	2015	SAMN13285811
SRR10534348	Bulk soil	2015	SAMN13285812
SRR10534349	Bulk soil	2015	SAMN13285813
SRR10534350	Bulk soil	2015	SAMN13285814
SRR10534351	Bulk soil	2015	SAMN13285815
SRR10534352	Bulk soil	2015	SAMN13285816
SRR10534353	Bulk soil	2015	SAMN13285817
SRR10534354	Bulk soil	2015	SAMN13285818
SRR10534355	Bulk soil	2015	SAMN13285819
SRR10534356	Bulk soil	2015	SAMN13285824
SRR10534357	Bulk soil	2015	SAMN13285820
SRR10534358	Bulk soil	2015	SAMN13285821
SRR10534359	Bulk soil	2015	SAMN13285822
SRR10534360	Bulk soil	2015	SAMN13285823
SRR10534361	Bulk soil	2015	SAMN13285825
SRR10534362	Bulk soil	2015	SAMN13285826
SRR10453922	rhizosphere	2015	SAMN13283916
SRR10453923	rhizosphere	2015	SAMN13283917
SRR10453924	Bulk soil	2015	SAMN13283925
SRR10453925	rhizosphere	2015	SAMN13283919
SRR10453926	rhizosphere	2015	SAMN13283920
SRR10453927	rhizosphere	2015	SAMN13283921
SRR10453928	rhizosphere	2015	SAMN13283922
SRR10453929	rhizosphere	2015	SAMN13283923
SRR10453930	rhizosphere	2015	SAMN13283924
SRR10453931	Bulk soil	2016	SAMN13283936
SRR10453932	rhizosphere	2016	SAMN13283926
SRR10453933	rhizosphere	2016	SAMN13283927
SRR10453934	rhizosphere	2016	SAMN13283928
SRR10453935	rhizosphere	2016	SAMN13283929
SRR10453936	rhizosphere	2016	SAMN13283930
SRR10453937	rhizosphere	2016	SAMN13283931
SRR10453938	rhizosphere	2016	SAMN13283932
SRR10453939	rhizosphere	2016	SAMN13283933
SRR10453940	rhizosphere	2016	SAMN13283934
SRR10453941	rhizosphere	2016	SAMN13283935
SRR10453942	Bulk soil	2016	SAMN13283947
SRR10453943	rhizosphere	2016	SAMN13283937
SRR10453944	rhizosphere	2016	SAMN13283938
SRR10453945	rhizosphere	2016	SAMN13283939
SRR10453946	rhizosphere	2016	SAMN13283940
SRR10453947	rhizosphere	2016	SAMN13283941
SRR10453948	rhizosphere	2016	SAMN13283942
SRR10453949	rhizosphere	2016	SAMN13283943
SRR10453950	rhizosphere	2016	SAMN13283944
SRR10453951	rhizosphere	2016	SAMN13283945
SRR10453952	rhizosphere	2016	SAMN13283946
SRR10453953	Bulk soil	2016	SAMN13283958
SRR10453954	rhizosphere	2016	SAMN13283948
SRR10453955	rhizosphere	2016	SAMN13283949
SRR10453956	rhizosphere	2016	SAMN13283950
SRR10453957	rhizosphere	2016	SAMN13283951
SRR10453958	rhizosphere	2016	SAMN13283952
SRR10453959	rhizosphere	2016	SAMN13283953
SRR10453960	rhizosphere	2016	SAMN13283954
SRR10453961	Bulk soil	2016	SAMN13283955
SRR10453962	Bulk soil	2016	SAMN13283956
SRR10453963	Bulk soil	2016	SAMN13283957
SRR10453964	Bulk soil	2016	SAMN13283969
SRR10453965	Bulk soil	2016	SAMN13283959
SRR10453966	Bulk soil	2016	SAMN13283960
SRR10453967	Bulk soil	2016	SAMN13283961
SRR10453968	Bulk soil	2016	SAMN13283962
SRR10453969	Bulk soil	2016	SAMN13283963
SRR10453970	Bulk soil	2016	SAMN13283964
SRR10453971	Bulk soil	2016	SAMN13283965
SRR10453972	Bulk soil	2016	SAMN13283966
SRR10453973	Bulk soil	2016	SAMN13283967
SRR10453974	Bulk soil	2016	SAMN13283968
SRR10453975	Bulk soil	2016	SAMN13284057
SRR10453976	Bulk soil	2016	SAMN13283970
SRR10453977	Bulk soil	2016	SAMN13283971
SRR10453978	Bulk soil	2016	SAMN13283979
SRR10453979	rhizosphere	2016	SAMN13283972
SRR10453980	rhizosphere	2016	SAMN13283973
SRR10453981	rhizosphere	2016	SAMN13283974
SRR10453982	rhizosphere	2016	SAMN13283975
SRR10453983	rhizosphere	2016	SAMN13283976
SRR10453984	rhizosphere	2016	SAMN13283977
SRR10453985	rhizosphere	2016	SAMN13283978
SRR10453986	Bulk soil	2016	SAMN13283990
SRR10453987	rhizosphere	2016	SAMN13283980
SRR10453988	rhizosphere	2016	SAMN13283981
SRR10453989	rhizosphere	2016	SAMN13283982
SRR10453990	rhizosphere	2016	SAMN13283983
SRR10453991	rhizosphere	2016	SAMN13283984
SRR10453992	rhizosphere	2016	SAMN13283985
